                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.85111,                0.82619,                 1.0575,                0.91852,                      1,                  0.995,                0.68374,                 1.0109,                0.67588,                 1.2162,             0.00013175,             0.00013175,             0.00013175
                    110,                0.82911,                0.80183,                 1.0201,                0.91852,                      1,                  0.995,                0.68374,                 1.0109,                0.67588,                 1.2162,             0.00012638,             0.00012638,             0.00012638
                    111,                0.89359,                0.77431,                   1.02,                0.93398,                0.99956,                  0.995,                0.68479,                 1.0142,                0.67792,                 1.2185,              0.0001211,              0.0001211,              0.0001211
                    112,                0.90334,                0.81167,                 1.0316,                0.93398,                0.99956,                  0.995,                0.68479,                 1.0142,                0.67792,                 1.2185,             0.00011591,             0.00011591,             0.00011591
                    113,                0.83318,                0.82233,                 1.0509,                   0.93,                      1,                  0.995,                0.68706,                  1.016,                0.67363,                 1.2193,             0.00011082,             0.00011082,             0.00011082
                    114,                0.89502,                0.80205,                 1.0291,                   0.93,                      1,                  0.995,                0.68706,                  1.016,                0.67363,                 1.2193,             0.00010583,             0.00010583,             0.00010583
                    115,                 0.8406,                0.82376,                 1.0433,                   0.93,                      1,                  0.995,                0.68706,                  1.016,                0.67363,                 1.2193,             0.00010094,             0.00010094,             0.00010094
                    116,                 0.8931,                0.78682,                0.98203,                0.91941,                      1,                  0.995,                0.69007,                 1.0173,                0.66901,                 1.2151,             9.6155e-05,             9.6155e-05,             9.6155e-05
                    117,                0.88035,                0.77891,                 1.0044,                0.91941,                      1,                  0.995,                0.69007,                 1.0173,                0.66901,                 1.2151,             9.1475e-05,             9.1475e-05,             9.1475e-05
                    118,                0.87301,                0.79459,                 1.0151,                0.91941,                      1,                  0.995,                0.69007,                 1.0173,                0.66901,                 1.2151,             8.6902e-05,             8.6902e-05,             8.6902e-05
                    119,                0.86374,                0.78549,                 1.0145,                0.90903,                0.98558,                  0.995,                0.68959,                 1.0208,                0.66497,                 1.2136,             8.2438e-05,             8.2438e-05,             8.2438e-05
                    120,                0.85335,                0.81699,                 1.0314,                0.90903,                0.98558,                  0.995,                0.68959,                 1.0208,                0.66497,                 1.2136,             7.8087e-05,             7.8087e-05,             7.8087e-05
                    121,                 0.7706,                0.75097,                 1.0056,                0.90404,                0.98392,                  0.995,                0.69003,                  1.019,                0.66302,                 1.2122,             7.3849e-05,             7.3849e-05,             7.3849e-05
